Year,Month,State,Primary Mode,Etiology,Serotype or Genotype,Etiology Status,Setting,Illnesses,Hospitalizations,Info On Hospitalizations,Deaths,Info On Deaths,Food Vehicle,Food Contaminated Ingredient,IFSAC Category,Water Exposure,Water Type,Animal Type
2016,11,Wisconsin,Person-to-person,,,,Long-term care/nursing home/assisted living facility,7,0,7,0,7,,,,,,
2016,11,Wisconsin,Indeterminate/unknown,,,,Long-term care/nursing home/assisted living facility,6,,0,,0,,,,,,
2016,11,Wisconsin,Food,Norovirus Genogroup II,GII.6,Confirmed,Restaurant: Sit-down dining,8,0,8,0,8,,,,,,
2016,11,Wisconsin,Person-to-person,,,,Long-term care/nursing home/assisted living facility,7,1,7,0,7,,,,,,
2016,11,Wisconsin,Indeterminate/unknown,Salmonella enterica,Enteritidis,Confirmed,Private home/residence,4,3,4,0,3,,,,,,
2016,11,Wisconsin,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,13,0,13,1,13,,,,,,
2016,11,Wisconsin,Indeterminate/unknown,,,,Long-term care/nursing home/assisted living facility,5,,0,,0,,,,,,
2016,11,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 untypeable,Confirmed,Long-term care/nursing home/assisted living facility,54,0,54,0,54,,,,,,
2016,11,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 untypeable,Confirmed,Child daycare/preschool,33,0,33,0,33,,,,,,
2016,11,Wisconsin,Indeterminate/unknown,,,,Long-term care/nursing home/assisted living facility,9,,0,,0,,,,,,
2016,11,Wisconsin,Person-to-person,,,,Long-term care/nursing home/assisted living facility,34,3,34,0,34,,,,,,
2016,11,Wisconsin,Indeterminate/unknown,Norovirus Genogroup II,GII.6,Confirmed,Child daycare/preschool,16,,0,,0,,,,,,
2016,11,Wisconsin,Person-to-person,,,,Long-term care/nursing home/assisted living facility,4,0,4,0,4,,,,,,
2016,11,Wisconsin,Indeterminate/unknown,,,,Long-term care/nursing home/assisted living facility,5,,0,,0,,,,,,
2016,11,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 untypeable,Confirmed,Long-term care/nursing home/assisted living facility,28,0,28,0,28,,,,,,
2016,11,Wisconsin,Food,Norovirus Genogroup I,GI.7,Suspected,Restaurant: Sit-down dining,6,0,6,0,6,,,,,,
2016,11,Wisconsin,Food,Norovirus Genogroup II,unknown,Suspected,Restaurant: Sit-down dining,20,0,20,0,20,,,,,,
2016,12,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 untypeable,Confirmed,Long-term care/nursing home/assisted living facility,76,1,76,0,76,,,,,,
2016,12,Wisconsin,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Long-term care/nursing home/assisted living facility,24,0,24,0,24,,,,,,
2016,12,Wisconsin,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,24,0,24,0,24,,,,,,
2016,12,Wisconsin,Person-to-person,Shigella unknown,,Suspected,Child daycare/preschool,21,0,21,0,21,,,,,,
2016,12,Wisconsin,Person-to-person,Norovirus unknown,,Confirmed,Long-term care/nursing home/assisted living facility,10,1,10,0,10,,,,,,
2016,12,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.P16 GII.4 Sydney,Confirmed,Long-term care/nursing home/assisted living facility,52,2,52,0,52,,,,,,
2016,12,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.6,Confirmed,Long-term care/nursing home/assisted living facility,83,0,83,0,83,,,,,,
2016,12,Wisconsin,Person-to-person,Norovirus unknown;Norovirus Genogroup II,GII.4 untypeable,Suspected;Confirmed,Long-term care/nursing home/assisted living facility,93,1,93,0,93,,,,,,
2016,12,Wisconsin,Person-to-person,,,,Long-term care/nursing home/assisted living facility,42,9,42,0,42,,,,,,
2016,12,Wisconsin,Person-to-person,,,,Long-term care/nursing home/assisted living facility,42,10,42,1,42,,,,,,
2016,12,Wisconsin,Person-to-person,,,,Long-term care/nursing home/assisted living facility,16,0,16,0,16,,,,,,
2016,12,Wisconsin,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,24,2,4,0,24,,,,,,
2016,12,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.3,Confirmed,Long-term care/nursing home/assisted living facility,29,0,29,0,29,,,,,,
2016,12,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 untypeable,Confirmed,Long-term care/nursing home/assisted living facility,48,2,48,0,48,,,,,,
2016,12,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.7,Confirmed,School/college/university,57,0,57,0,57,,,,,,
2016,12,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.6,Suspected,Long-term care/nursing home/assisted living facility,40,0,40,0,40,,,,,,
2016,12,Wisconsin,Person-to-person,,,,School/college/university,37,,0,,0,,,,,,
2016,12,Wisconsin,Person-to-person,Norovirus unknown,,Confirmed,Long-term care/nursing home/assisted living facility,45,0,45,0,45,,,,,,
2016,12,Wisconsin,Animal contact,Cryptosporidium,,Confirmed,Private home/residence,3,2,3,0,3,,,,,,
2016,12,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 untypeable,Confirmed,Long-term care/nursing home/assisted living facility,91,1,91,0,91,,,,,,
2016,12,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 untypeable,Confirmed,Long-term care/nursing home/assisted living facility,17,0,17,0,17,,,,,,
2016,12,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 untypeable,Confirmed,Long-term care/nursing home/assisted living facility,33,0,33,1,33,,,,,,
2016,12,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 untypeable,Confirmed,Long-term care/nursing home/assisted living facility,59,0,59,0,59,,,,,,
2016,12,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 untypeable,Suspected,Long-term care/nursing home/assisted living facility,11,0,11,0,11,,,,,,
2016,12,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 untypeable,Confirmed,Long-term care/nursing home/assisted living facility,34,1,34,0,34,,,,,,
2016,12,Wisconsin,Food,Clostridium perfringens,,Confirmed,Caterer,20,0,20,0,20,"steak, beef tips",,Beef,,,
2016,12,Wisconsin,Food,,,,Banquet Facility (food prepared and served on-site),35,0,35,0,35,,,,,,
2016,12,Wisconsin,Food,Norovirus Genogroup II,,Confirmed,Restaurant: Sit-down dining,10,0,10,0,10,,,,,,
2016,12,Wisconsin,Person-to-person,,,,Long-term care/nursing home/assisted living facility,13,0,13,0,13,,,,,,
2016,12,Wisconsin,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,10,0,10,0,10,,,,,,
2016,12,Wisconsin,Person-to-person,,,,Long-term care/nursing home/assisted living facility,18,0,8,0,18,,,,,,
2016,12,Wisconsin,Indeterminate/unknown,Norovirus Genogroup I,GI.7,Suspected,School/college/university,150,,0,,0,,,,,,
2016,12,Wisconsin,Indeterminate/unknown,Norovirus Genogroup II,GII.4 untypeable,Suspected,Long-term care/nursing home/assisted living facility,18,,0,,0,,,,,,
2016,12,Wisconsin,Person-to-person,,,,Long-term care/nursing home/assisted living facility,9,0,9,0,9,,,,,,
2016,12,Wisconsin,Person-to-person,,,,Long-term care/nursing home/assisted living facility,3,0,3,0,3,,,,,,
2016,12,Wisconsin,Person-to-person,Norovirus unknown,,Confirmed,Correctional/detention facility,225,0,225,0,225,,,,,,
2016,12,Wisconsin,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Long-term care/nursing home/assisted living facility,28,0,28,0,28,,,,,,
2016,12,Wisconsin,Indeterminate/unknown,,,,Child daycare/preschool,24,,0,,0,,,,,,
2016,12,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 untypeable,Suspected,Long-term care/nursing home/assisted living facility,51,0,51,0,51,,,,,,
2016,12,Wisconsin,Person-to-person,,,,Long-term care/nursing home/assisted living facility,2,0,2,0,2,,,,,,
2016,12,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 untypeable,Confirmed,Long-term care/nursing home/assisted living facility,29,0,29,0,29,,,,,,
2016,12,Wisconsin,Food,Norovirus Genogroup II,GII.7,Suspected,Long-term care/nursing home/assisted living facility,18,0,18,0,18,,,,,,
2016,12,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 untypeable,Suspected,Long-term care/nursing home/assisted living facility,17,6,17,0,17,,,,,,
2016,12,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 untypeable,Confirmed,Long-term care/nursing home/assisted living facility,43,0,43,0,43,,,,,,
2016,12,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 untypeable,Confirmed,Long-term care/nursing home/assisted living facility,9,0,9,0,9,,,,,,
2016,12,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 untypeable,Confirmed,Long-term care/nursing home/assisted living facility,83,0,83,0,83,,,,,,
2016,12,Wisconsin,Person-to-person,,,,Long-term care/nursing home/assisted living facility,63,2,63,1,63,,,,,,
2016,12,Wisconsin,Person-to-person,,,,Long-term care/nursing home/assisted living facility,5,0,5,0,5,,,,,,
2016,12,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 untypeable,Confirmed,Long-term care/nursing home/assisted living facility,62,0,62,0,62,,,,,,
2016,12,Wisconsin,Indeterminate/unknown,Norovirus Genogroup II,GII.4 untypeable,Confirmed,Long-term care/nursing home/assisted living facility,10,,0,,0,,,,,,
2016,12,Wisconsin,Person-to-person,,,,Long-term care/nursing home/assisted living facility,5,0,5,0,5,,,,,,
2016,12,Wisconsin,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,17,7,17,0,17,,,,,,
2016,12,Wisconsin,Indeterminate/unknown,,,,Long-term care/nursing home/assisted living facility,5,,0,,0,,,,,,
2016,12,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 untypeable,Confirmed,Long-term care/nursing home/assisted living facility,29,0,29,0,29,,,,,,
2016,12,Wisconsin,Person-to-person,Norovirus Genogroup II,unknown,Suspected,Long-term care/nursing home/assisted living facility,45,0,45,0,45,,,,,,
2017,1,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.P16 GII.4 Sydney,Confirmed,Long-term care/nursing home/assisted living facility,6,0,0,0,0,,,,,,
2017,1,Wisconsin,Food,,,,Restaurant: Sit-down dining,7,,0,,0,,,,,,
2017,1,Wisconsin,Indeterminate/unknown,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,6,0,0,0,0,,,,,,
2017,1,Wisconsin,Person-to-person,,,,Long-term care/nursing home/assisted living facility,5,0,5,0,5,,,,,,
2017,1,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.P16 GII.4 Sydney,Confirmed,Long-term care/nursing home/assisted living facility,88,1,88,1,88,,,,,,
2017,1,Wisconsin,Food,Norovirus Genogroup II,GII.P16 GII.2,Confirmed,Restaurant: Sit-down dining,35,1,35,0,35,,,,,,
2017,1,Wisconsin,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Long-term care/nursing home/assisted living facility,25,0,25,0,25,,,,,,
2017,1,Wisconsin,Person-to-person,,,,Long-term care/nursing home/assisted living facility,20,0,20,0,20,,,,,,
2017,1,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.P7 GII.7,Confirmed,Long-term care/nursing home/assisted living facility,15,0,15,0,15,,,,,,
2017,1,Wisconsin,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,34,0,34,1,34,,,,,,
2017,1,Wisconsin,Food,Norovirus Genogroup II,GII.P16 GII.4 Sydney,Confirmed,Restaurant: Sit-down dining,25,0,25,0,25,,,,,,
2017,1,Wisconsin,Person-to-person,,,,Long-term care/nursing home/assisted living facility,13,0,13,0,13,,,,,,
2017,1,Wisconsin,Indeterminate/unknown,,,,Long-term care/nursing home/assisted living facility,7,0,0,0,0,,,,,,
2017,1,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.P16 GII.4 Sydney,Confirmed,Long-term care/nursing home/assisted living facility,51,1,51,2,51,,,,,,
2017,1,Wisconsin,Person-to-person,Norovirus unknown;Norovirus Genogroup II,unknown,Confirmed;Confirmed,Long-term care/nursing home/assisted living facility,24,0,24,0,24,,,,,,
2017,1,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.P16 GII.4 Sydney,Confirmed,Long-term care/nursing home/assisted living facility,20,0,20,0,20,,,,,,
2017,1,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.P16 GII.4 Sydney,Confirmed,Long-term care/nursing home/assisted living facility,33,0,31,0,31,,,,,,
2017,1,Wisconsin,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,32,3,32,0,32,,,,,,
2017,1,Wisconsin,Indeterminate/unknown,,,,School/college/university,27,0,0,0,0,,,,,,
2017,1,Wisconsin,Person-to-person,Norovirus Genogroup II,,Suspected,Long-term care/nursing home/assisted living facility,46,1,46,0,46,,,,,,
2017,1,Wisconsin,Person-to-person,Norovirus unknown;Norovirus Genogroup II,unknown,Confirmed;Confirmed,Long-term care/nursing home/assisted living facility,115,1,115,0,115,,,,,,
2017,1,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.P16 GII.4 Sydney,Confirmed,Long-term care/nursing home/assisted living facility,11,0,11,0,11,,,,,,
2017,1,Wisconsin,Person-to-person,Norovirus Genogroup I,GI.7,Suspected,Long-term care/nursing home/assisted living facility,40,0,0,0,0,,,,,,
2017,1,Wisconsin,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,15,0,15,0,15,,,,,,
2017,1,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.P16 GII.4 Sydney,Confirmed,Long-term care/nursing home/assisted living facility,7,0,7,0,7,,,,,,
2017,1,Wisconsin,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,9,0,9,0,9,,,,,,
2017,1,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.P16 GII.4 Sydney,Confirmed,Long-term care/nursing home/assisted living facility,35,0,35,0,35,,,,,,
2017,1,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.P16 GII.4 Sydney,Confirmed,Long-term care/nursing home/assisted living facility,52,0,52,0,52,,,,,,
2017,1,Wisconsin,Person-to-person,"Escherichia coli, Enteropathogenic",unknown,Suspected,Long-term care/nursing home/assisted living facility,13,0,13,0,13,,,,,,
2017,1,Wisconsin,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,10,0,10,0,10,,,,,,
2017,1,Wisconsin,Person-to-person,,,,Long-term care/nursing home/assisted living facility,47,0,6,0,6,,,,,,
2017,1,Wisconsin,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,47,1,47,0,47,,,,,,
2017,1,Wisconsin,Person-to-person,Norovirus unknown;Norovirus Genogroup II,unknown,Suspected;Confirmed,Long-term care/nursing home/assisted living facility,12,0,12,0,12,,,,,,
2017,1,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.P16 GII.4 Sydney,Confirmed,Long-term care/nursing home/assisted living facility,29,2,29,0,29,,,,,,
2017,1,Wisconsin,Indeterminate/unknown,,,,Long-term care/nursing home/assisted living facility,8,0,0,0,0,,,,,,
2017,1,Wisconsin,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,7,0,7,0,7,,,,,,
2017,1,Wisconsin,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,28,0,28,0,28,,,,,,
2017,1,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.P16 GII.4 Sydney,Confirmed,Long-term care/nursing home/assisted living facility,55,1,55,0,55,,,,,,
2017,1,Wisconsin,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Long-term care/nursing home/assisted living facility,21,1,21,3,21,,,,,,
2017,1,Wisconsin,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,13,2,13,0,13,,,,,,
2017,1,Wisconsin,Indeterminate/unknown,,,,Long-term care/nursing home/assisted living facility,7,0,0,0,0,,,,,,
2017,1,Wisconsin,Person-to-person,,,,Long-term care/nursing home/assisted living facility,5,0,0,0,0,,,,,,
2017,1,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 untypeable,Suspected,Long-term care/nursing home/assisted living facility,38,1,38,0,38,,,,,,
2017,1,Wisconsin,Person-to-person,Norovirus Genogroup II,unknown,Suspected,Long-term care/nursing home/assisted living facility,17,0,17,0,17,,,,,,
2017,1,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.P16 GII.4 Sydney,Confirmed,Long-term care/nursing home/assisted living facility,46,1,46,0,46,,,,,,
2017,1,Wisconsin,Indeterminate/unknown,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,17,0,0,0,0,,,,,,
2017,1,Wisconsin,Person-to-person,Norovirus unknown,,Confirmed,Long-term care/nursing home/assisted living facility,27,0,27,0,27,,,,,,
2017,1,Wisconsin,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Long-term care/nursing home/assisted living facility,35,0,35,0,35,,,,,,
2017,1,Wisconsin,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Long-term care/nursing home/assisted living facility,56,7,56,0,56,,,,,,
2017,1,Wisconsin,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,29,3,29,0,29,,,,,,
2017,1,Wisconsin,Person-to-person,Norovirus unknown,,Confirmed,Long-term care/nursing home/assisted living facility,7,0,7,0,0,,,,,,
2017,1,Wisconsin,Person-to-person,Norovirus unknown,,Confirmed,Long-term care/nursing home/assisted living facility,53,0,53,0,53,,,,,,
2017,1,Wisconsin,Indeterminate/unknown,,,,Long-term care/nursing home/assisted living facility,34,0,0,0,0,,,,,,
2017,1,Wisconsin,Indeterminate/unknown,,,,Long-term care/nursing home/assisted living facility,5,0,0,0,0,,,,,,
2017,1,Wisconsin,Person-to-person,,,,Long-term care/nursing home/assisted living facility,10,0,0,0,0,,,,,,
2017,1,Wisconsin,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,13,0,13,0,13,,,,,,
2017,1,Wisconsin,Person-to-person,Norovirus Genogroup I,GI.9,Confirmed,Long-term care/nursing home/assisted living facility,26,1,26,0,26,,,,,,
2017,1,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.P16 GII.4 Sydney,Confirmed,Long-term care/nursing home/assisted living facility,22,0,22,0,22,,,,,,
2017,1,Wisconsin,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,9,0,9,0,9,,,,,,
2017,1,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.P16 GII.4 Sydney,Confirmed,Long-term care/nursing home/assisted living facility,16,0,16,0,16,,,,,,
2017,1,Wisconsin,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,16,0,16,0,16,,,,,,
2017,1,Wisconsin,Person-to-person,,,,Long-term care/nursing home/assisted living facility,31,1,31,0,31,,,,,,
2017,1,Wisconsin,Person-to-person,Clostridium difficile,,Confirmed,Long-term care/nursing home/assisted living facility,5,0,5,0,5,,,,,,
2017,1,Wisconsin,Person-to-person,Norovirus unknown,,Suspected,Child daycare/preschool,7,0,7,0,7,,,,,,
2017,1,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.P16 GII.4 Sydney,Confirmed,Long-term care/nursing home/assisted living facility,15,0,15,1,15,,,,,,
2017,1,Wisconsin,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,21,0,21,0,21,,,,,,
2017,1,Wisconsin,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,55,0,55,0,55,,,,,,
2017,1,Wisconsin,Person-to-person,Norovirus Genogroup I;Norovirus Genogroup II,GI.7;GII.P16 GII.4 Sydney,Confirmed;Suspected,Long-term care/nursing home/assisted living facility,24,0,24,0,24,,,,,,
2017,1,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.P16 GII.4 Sydney,Confirmed,Long-term care/nursing home/assisted living facility,19,0,0,0,0,,,,,,
2017,1,Wisconsin,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,13,0,13,0,13,,,,,,
2017,1,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 untypeable,Suspected,Long-term care/nursing home/assisted living facility,35,0,35,0,35,,,,,,
2017,1,Wisconsin,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,7,0,7,0,7,,,,,,
2017,1,Wisconsin,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,11,0,11,0,11,,,,,,
2017,1,Wisconsin,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,7,0,7,0,7,,,,,,
2017,1,Wisconsin,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,19,0,19,0,19,,,,,,
2017,1,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.P16 GII.4 Sydney,Confirmed,Long-term care/nursing home/assisted living facility,22,0,22,0,22,,,,,,
2017,1,Wisconsin,Person-to-person,Norovirus Genogroup II,,Suspected,Long-term care/nursing home/assisted living facility,64,1,64,0,64,,,,,,
2017,1,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.P16 GII.4 Sydney,Confirmed,Long-term care/nursing home/assisted living facility,16,0,16,0,16,,,,,,
2017,1,Wisconsin,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,37,0,37,0,37,,,,,,
2017,1,Wisconsin,Person-to-person,,,,Other healthcare facility,10,0,10,0,10,,,,,,
2017,1,Wisconsin,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,6,0,6,0,0,,,,,,
2017,1,Wisconsin,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,5,0,5,0,5,,,,,,
2017,1,Wisconsin,Person-to-person,Cryptosporidium;Norovirus Genogroup II,GII.7,Suspected;Suspected,Long-term care/nursing home/assisted living facility,19,0,0,0,0,,,,,,
2017,1,Wisconsin,Food,Salmonella enterica,Braenderup,Confirmed,Restaurant: Sit-down dining,7,2,7,0,7,,,,,,
2017,1,Wisconsin,Person-to-person,Norovirus Genogroup I,GI.6,Confirmed,Long-term care/nursing home/assisted living facility,9,0,7,0,7,,,,,,
2017,1,Wisconsin,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Other,22,0,21,0,21,,,,,,
2017,1,Wisconsin,Person-to-person,,,,Long-term care/nursing home/assisted living facility,51,0,51,0,51,,,,,,
2017,1,Wisconsin,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,12,0,12,0,12,,,,,,
2017,1,Wisconsin,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,55,1,43,0,43,,,,,,
2017,1,Wisconsin,Person-to-person,Norovirus Genogroup II,,Suspected,Long-term care/nursing home/assisted living facility,12,1,12,0,12,,,,,,
2017,1,Wisconsin,Person-to-person,,,,Long-term care/nursing home/assisted living facility,23,0,11,0,11,,,,,,
2017,1,Wisconsin,Person-to-person,Norovirus Genogroup II,,Suspected,Long-term care/nursing home/assisted living facility,7,0,7,0,7,,,,,,
2017,1,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 untypeable,Confirmed,Restaurant,16,0,16,0,16,,,,,,
2017,1,Wisconsin,Person-to-person,Norovirus unknown,,Confirmed,Long-term care/nursing home/assisted living facility,24,0,24,0,24,,,,,,
2017,1,Wisconsin,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,9,2,9,0,0,,,,,,
2017,2,Wisconsin,Person-to-person,Sapovirus,,Confirmed,Long-term care/nursing home/assisted living facility,24,0,0,0,0,,,,,,
2017,2,Wisconsin,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,13,1,13,0,13,,,,,,
2017,2,Wisconsin,Person-to-person,Norovirus unknown,,Suspected,Child daycare/preschool,11,0,11,0,11,,,,,,
2017,2,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 untypeable,Suspected,Long-term care/nursing home/assisted living facility,9,0,0,0,0,,,,,,
2017,2,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.P16 GII.4 Sydney,Confirmed,Long-term care/nursing home/assisted living facility,21,1,21,0,21,,,,,,
2017,2,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.6,Confirmed,Long-term care/nursing home/assisted living facility,57,0,57,1,57,,,,,,
2017,2,Wisconsin,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,6,0,0,0,0,,,,,,
2017,2,Wisconsin,Person-to-person,,,,Long-term care/nursing home/assisted living facility,11,3,11,0,11,,,,,,
2017,2,Wisconsin,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,30,0,30,0,30,,,,,,
2017,2,Wisconsin,Food,Norovirus Genogroup II,GII.P16 GII.4 Sydney,Confirmed,Restaurant: Sit-down dining,17,0,17,0,17,,,,,,
2017,2,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.P16 GII.4 Sydney,Confirmed,Long-term care/nursing home/assisted living facility,38,0,0,0,0,,,,,,
2017,2,Wisconsin,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,5,,0,,0,,,,,,
2017,2,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.P16 GII.4 Sydney,Confirmed,Long-term care/nursing home/assisted living facility,17,0,17,1,17,,,,,,
2017,2,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.P16 GII.4 Sydney,Confirmed,Long-term care/nursing home/assisted living facility,45,0,45,0,45,,,,,,
2017,2,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.P16 GII.4 Sydney,Confirmed,Long-term care/nursing home/assisted living facility,28,2,28,0,28,,,,,,
2017,2,Wisconsin,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,9,0,9,0,9,,,,,,
2017,2,Wisconsin,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,11,0,11,0,11,,,,,,
2017,2,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 untypeable,Suspected,Long-term care/nursing home/assisted living facility,33,0,33,0,33,,,,,,
2017,2,Wisconsin,Person-to-person,Norovirus Genogroup II,unknown,Suspected,School/college/university,5,0,0,0,0,,,,,,
2017,2,Wisconsin,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,11,0,11,0,11,,,,,,
2017,2,Wisconsin,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,17,0,17,0,17,,,,,,
2017,2,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.P16 GII.4 Sydney,Confirmed,Other,21,1,21,0,21,,,,,,
2017,2,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.P16 GII.4 Sydney,Confirmed,Long-term care/nursing home/assisted living facility,32,3,32,1,32,,,,,,
2017,2,Wisconsin,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Long-term care/nursing home/assisted living facility,18,0,18,0,18,,,,,,
2017,2,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.P16 GII.4 Sydney,Confirmed,Long-term care/nursing home/assisted living facility,11,1,11,0,11,,,,,,
2017,2,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.P16 GII.4 Sydney,Confirmed,Long-term care/nursing home/assisted living facility,17,0,17,0,17,,,,,,
2017,2,Wisconsin,Indeterminate/unknown,,,,Long-term care/nursing home/assisted living facility,7,0,0,0,0,,,,,,
2017,2,Wisconsin,Person-to-person,Norovirus Genogroup I,GI.7,Confirmed,Long-term care/nursing home/assisted living facility,16,0,15,0,15,,,,,,
